"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"5157","V7711100126","6/11/2023 12:00:00 AM","678027","161052","الالة تحتاج درام + شفرة + حبر اصفر","ايمن","",""
"5158","V7902901140","5/30/2023 12:00:00 AM","900305","","صيانة دورية","ايمن","",""
"5159","W534J900255","5/30/2023 12:00:00 AM","48348","","صيانة دورية","ايمن","",""
"5160","W523J900281","5/18/2023 12:00:00 AM","600404","","صيانة دورية","ايمن","",""
"5161","M5084204482","5/18/2023 12:00:00 AM","156319","92401","الالة تحتاج الي سخان كامل","ايمن","",""
"5162","M6593900415","5/18/2023 12:00:00 AM","215507","","الدرج الاول تحت التجربة","ايمن","",""
"5163","4l12520047","5/18/2023 12:00:00 AM","338017","","تم ضبط الدرج الاول","ايمن","",""
"5164","E163M830149","5/29/2023 12:00:00 AM","488377","104645","تم رفع درجة حرارة السخان","ايمن","",""
"5165","M6384301390","5/29/2023 12:00:00 AM","489239","","الالة تحتاج يونت درام","ايمن","",""
"5166","V9814700743","5/29/2023 12:00:00 AM","146322","60364","تم عمل صيانة لليونت الاسود + الغاء كود SC 400","ايمن","",""
"5167","W523J900281","5/30/2023 12:00:00 AM","602433","","تم تغير روال الزيت","ايمن","",""
"5168","L7096760959","5/30/2023 12:00:00 AM","448863","","تم تغير السخان للالة","ايمن","",""
"5169","M6384301390","5/30/2023 12:00:00 AM","489241","","تم تغيريونت الدرام بالكامل","ايمن","",""
"5170","W513J201257","5/30/2023 12:00:00 AM","343285","266800","تم تغير شيت فلم السخان","ايمن","",""
"5171","W524JA00173","6/20/2023 12:00:00 AM","503866","","حشر مستمر","ايمن","",""
"5172","3667850729","5/31/2023 12:00:00 AM","524494","","صيانة دورية","ايمن","",""
"5173","EX9308568","5/31/2023 12:00:00 AM","2135213","","صيانة دورية","ايمن","",""
"5176","V7611100415","5/31/2023 12:00:00 AM","1582856","981418","صيانة دورية","ايمن","",""
"5177","M5483300390","6/4/2023 12:00:00 AM","576589","","حشر مستمر فى الفيدر","ايمن","",""
"5178","8W98870448","6/1/2023 12:00:00 AM","180068","","الالة بها تكرار في الصورة","ايمن","",""
"5179","M6483800000","5/24/2023 12:00:00 AM","1294212","","صيانة دورية","ايمن","",""
"5180","S7214600372","6/1/2023 12:00:00 AM","285036","11039","صيانة دورية","ايمن","",""
"5181","M5682700193","6/1/2023 12:00:00 AM","356799","","الالة بها تكرار في الصورة","ايمن","",""
"5182","V8204500793","6/1/2023 12:00:00 AM","647812","","صيانة دورية","ايمن","",""
"5183","M5593300590","6/1/2023 12:00:00 AM","958108","","صيانة دورية","ايمن","",""
"5184","M5792600321","6/1/2023 12:00:00 AM","2362235","","صيانة دورية","ايمن","",""
"5185","M5593300079","6/1/2023 12:00:00 AM","521762","","صيانة دورية","ايمن","",""
"5186","M5792700275","6/1/2023 12:00:00 AM","599676","","تم تغير نص يونت درام علوي","ايمن","",""
"5187","M5402800100","6/1/2023 12:00:00 AM","460800","","تم نقل يونت الدرام من الالة الاخري","ايمن","",""
"5188","M6593900415","6/3/2023 12:00:00 AM","215538","","صيانة دورية","ايمن","",""
"5189","M5084204482","6/3/2023 12:00:00 AM","156329","92408","الالة تحتاج الي سخان كامل","ايمن","",""
"5190","4l12520047","6/3/2023 12:00:00 AM","338022","","تم عمل صيانة عامة للالة","ايمن","",""
"5191","C079C230028","5/31/2023 12:00:00 AM","90457","299462","صيانة للالة","مجدى","",""
"5193","V4209101578","6/4/2023 12:00:00 AM","221464","","تم عمل صيانة للسخان","يحيي","",""
"5194","H6736500886","6/4/2023 12:00:00 AM","195190","","عداد تسليم الالة","يحيي","",""
"5196","V2204302180","6/1/2023 12:00:00 AM","219531","71979","تم ملو حبر + صيانة دورية","مجدى","",""
"5197","M5793300004","6/1/2023 12:00:00 AM","328210","","تم صبط الصورة","مجدى","",""
"5199","V9314700650","6/3/2023 12:00:00 AM","364003","92360","صيانة دورية","مجدى","",""
"5201","W4492001152","6/3/2023 12:00:00 AM","320213","","تم تغير تنك ديفلبر + صيانة","يوسف","",""
"5203","W431K900560","6/4/2023 12:00:00 AM","832727","","تم عمل قفلة للسخان","شعبان","",""
"5207","V9714702097","6/3/2023 12:00:00 AM","207567","78597","صيانة دورية","شعبان","",""
"5208","S7433700066","6/3/2023 12:00:00 AM","103112","60685","تم حل مشكلة الحصيرة","الزهري","",""
"5209","W542JB00610 ش","6/3/2023 12:00:00 AM","348920","104285","صيانة دورية","شعبان","",""
"5213","W503K400975","6/4/2023 12:00:00 AM","703962","130053","تم تركيب 2 ترس للسخان","رحيم","",""
"5214","S9258500261","6/4/2023 12:00:00 AM","28330","","صيانة دورية","مجدى","",""
"5215","M5793300004","6/4/2023 12:00:00 AM","328705","","الالة تحتاج درام","مجدى","",""
"5216","W3049404951","6/4/2023 12:00:00 AM","185887","","تم تنظيف حامل الحبر","مجدى","",""
"5217","V9824200707","6/4/2023 12:00:00 AM","304554","127238","صيانة دورية + ملو حبر اللوان","مجدى","",""
"5222","M6404200298","6/4/2023 12:00:00 AM","668363","","تم ملو حبر + صيانة للسخان","شعبان","",""
"5223","NUZ3108723","6/5/2023 12:00:00 AM","75834","70274","تم حل مشكلة الحشر و السحب","رحيم","",""
"5225","V9713701076","6/4/2023 12:00:00 AM","139781","119484","تم صبط اليونت الازرق","الزهري","",""
"5226","W672K200831","6/5/2023 12:00:00 AM","266251","","تم تسليم الالة والتعليم عليها","الزهري","",""
"5227","W915P104449","6/5/2023 12:00:00 AM","127534","","تم ضبط السخان في الورشة + تركيب ثينثورللباب","يحيي","",""
"5229","V2294602212","6/5/2023 12:00:00 AM","112448","10231","تم عمل صيانة للفيدر + كارتت LAN","شعبان","الالة تحتاج سخان",""
"5230","V1494200985 ش","6/5/2023 12:00:00 AM","551841","6957","صيانة دورية","شعبان","تم تحصيل قسط عقد صيانة 200 جنية",""
"5232","v9724203927","6/5/2023 12:00:00 AM","145365","50834","صيانة دورية","شعبان","العقد على تليفون",""
"5234","W523J900281","6/6/2023 12:00:00 AM","603688","","صيانة دورية","ايمن","",""
"5235","W3048504064","6/5/2023 12:00:00 AM","20843","","تم تشغيل الالة فاكس","مجدى","",""
"5237","W663K200239 ش","6/5/2023 12:00:00 AM","353692","","صيانة دورية","مجدى","",""
"5239","V9304801899","6/5/2023 12:00:00 AM","305421","114785","تم استبدال البامب الاصفر مكان الاسود + صيانة لزجاجة الحبر الاسود","شعبان","",""
"5241","G074P300502 ش","6/6/2023 12:00:00 AM","501748","138365","تم ملو نص كيس حبر الفا ربع","شعبان","",""
"5242","S3726720040 ش","6/6/2023 12:00:00 AM","899857","","ملو جيركن كاتون","شعبان","",""
"5243","S9339500806 ش","6/6/2023 12:00:00 AM","81090","104946","ملو حبر ربع الفا","شعبان","",""
"5244","S7214000955 ش","6/6/2023 12:00:00 AM","355431","46490","تم ملو نص كيس ربع الفا","شعبان","",""
"5246","W903P500543","6/6/2023 12:00:00 AM","154745","","صيانة دورية","شعبان","الالة خارج الضمان",""
"5247","M4472301724 ش","6/6/2023 12:00:00 AM","52295","","صيانة دورية","شعبان","",""
"5248","K8563700734","6/6/2023 12:00:00 AM","272478","","صيانة دورية","شعبان","",""
"5249","S7224300044","6/6/2023 12:00:00 AM","298410","39572","كود sc220 + sc 222","شعبان","الالة تحتاج ليزر",""
"5250","K2068803666","6/6/2023 12:00:00 AM","74525","","الالة تحتاج شفرة درام","شعبان","",""
"5256","W493K201306","6/6/2023 12:00:00 AM","172452","","صيانة للالة","شعبان","",""
"5257","W663K500649","6/6/2023 12:00:00 AM","86413","","الالة تحتاج تركيب شفرة درام","شعبان","",""
"5258","S7214401743","6/6/2023 12:00:00 AM","47593","42513","تم تعريف الالة","كريم","",""
"5259","M0189506909","6/5/2023 12:00:00 AM","144327","","تم عمل صيانة للالة","رحيم","",""
"5260","QAW1323965","6/5/2023 12:00:00 AM","168872","","تم عمل صيانة للالة","رحيم","",""
"5262","W663K500649","6/7/2023 12:00:00 AM","86416","","تم تركيب شفرة درام + ضبط ترحيل الصورة","يوسف","",""
"5263","W493K201306","6/7/2023 12:00:00 AM","172452","","تم حل مشكلة الخطوط الزرقاء في الصورة","يوسف","",""
"5264","K2068803666","6/7/2023 12:00:00 AM","74525","","تم تركيب شفرة درام","شعبان","",""
"5265","G075PC01186","6/7/2023 12:00:00 AM","92458","33192","صيانة دورية","مجدى","",""
"5268","V7913300584","6/6/2023 12:00:00 AM","1308405","","صيانة دورية + ملو حبر","مجدى","",""
"5273","V1484801102","6/6/2023 12:00:00 AM","205830","106155","صيانة دورية + ملو حبر","مجدى","",""
"5274","V7720930018","6/6/2023 12:00:00 AM","343046","342887","تم ضبط الالة","مجدى","",""
"5275","S7214100287","6/8/2023 12:00:00 AM","89839","37839","تم تعبئة حبر","مجدى","",""
"5276","S7214400286","6/8/2023 12:00:00 AM","286658","88678","تم تعبئة حبر","مجدى","",""
"5278","E754K650223","6/8/2023 12:00:00 AM","557314","","صيانة دورية","مجدى","",""
"5282","E135P500010","6/8/2023 12:00:00 AM","47238","18347","الالة تحتاج درام  اصفر + ازرق","مجدى","",""
"5283","W513J100118","6/8/2023 12:00:00 AM","283419","118856","الالة تحتاج روال سفلي للسخان + درام للاسود","مجدى","",""
"5284","W673K700078","6/8/2023 12:00:00 AM","700581","","الالة تحتاج روال سخان علوي + تغير حبر","مجدى","",""
"5285","L3684302515","6/7/2023 12:00:00 AM","452513","119087","تم تغير السخان + عمل صيانة للالة","مجدى","",""
"5287","S7324700111","6/5/2023 12:00:00 AM","331780","39860","صيانة دورية","مجدى","",""
"5288","S7314700150","6/8/2023 12:00:00 AM","170806","21059","تم عمل صيانة لتنك الديفلبر","الزهري","",""
"5289","LH45X13619","6/8/2023 12:00:00 AM","603961","","صيانة دورية","رحيم","",""
"5290","V7720930018","6/8/2023 12:00:00 AM","343079","345507","تم حل مشكلة الارضية الصفراء","رحيم","",""
"5291","V1403900164","6/8/2023 12:00:00 AM","49229","58731","تم تغير سخان الالة","رحيم","تم تحصيل 1600 جنية",""
"5294","M0179311102","6/10/2023 12:00:00 AM","220907","","تم تركيب طقم تروس + كيس حبر","شعبان","",""
"5295","V7610900773","6/10/2023 12:00:00 AM","368485","1355433","تم فك مجموعة الاظافر وتركيب المجموعة القديمة واسترجاعها","رحيم","2 حبر فقط من الحساب",""
"5296","E175J600024","6/10/2023 12:00:00 AM","363438","188854","تم تغير مجموعة يونت الدرام الاسود","رحيم","",""
"5297","V4409007305","6/10/2023 12:00:00 AM","85050","","تم تركيب طقم تروس استعمال","رحيم","الحساب 250 جنية",""
"5298","LXP5805627","6/10/2023 12:00:00 AM","70855","","تم ملو حبر CAT + ضبط الالة","رحيم","تحصيل زيارة 100 جنية",""
"5299","W796P701088","6/10/2023 12:00:00 AM","9226","18727","صيانة دورية + حشر في الفيدر","شعبان","",""
"5301","M6583801637","6/12/2023 12:00:00 AM","521943","","تم ملو كيس حبر نص الفا","يوسف","",""
"5302","J8344802268","6/11/2023 12:00:00 AM","804948","","تم تغير طقم تروس + لمبة الاسكنر + تزويد ديفلبر","يوسف","",""
"5304","S3726720040 ش","6/11/2023 12:00:00 AM","902762","","تم ملو حبر ربع الفا","اسماعيل","",""
"5305","W682KA00353 ش","6/7/2023 12:00:00 AM","208125","","تم تغير طقم تروس + ترس رئيسي","شعبان","",""
"5308","G076PB00672","6/12/2023 12:00:00 AM","23581","9104","صيانة دورية","شعبان","تم تحصيل 1000 جنية قسط  الالة",""
"5310","V7913600408","6/12/2023 12:00:00 AM","361817","","صيانة دورية","تمام","",""
"5311","W673K700078","6/11/2023 12:00:00 AM","700632","","تم تغير روال سخان علوي","مجدى","الالة تحتاج باب جانبي يوجد كسر في قاعدة ريشة الدوبلكس",""
"5312","X 3660840779","6/12/2023 12:00:00 AM","115473","","صيانة دورية","تمام","تم دفع 250 جنية قسط عقد صيانة",""
"5317","W503K500536","6/12/2023 12:00:00 AM","54829","84391","صيانة دورية","مجدى","",""
"5320","W915P104449","6/11/2023 12:00:00 AM","127689","","صيانة دورية","مجدى","",""
"5321","V7720930018","6/12/2023 12:00:00 AM","343372","346689","تم ضبط الالة","رحيم","",""
"5323","V8015001194","6/8/2023 12:00:00 AM","793798","","تم عمل صيانة للالة","يوسف","",""
"5324","S5209604185","6/5/2023 12:00:00 AM","234605","","تم تغير الشباية","ايمن","",""
"5325","M6384301390","6/7/2023 12:00:00 AM","490162","","صيانة دورية","ايمن","",""
"5326","E236C130003","6/7/2023 12:00:00 AM","605401","178215","صيانة دورية","ايمن","",""
"5327","C067C30087","6/7/2023 12:00:00 AM","158969","582826","حبر ازرق + اصفر","ايمن","الالة بها تكرار",""
"5328","W3029310830","6/5/2023 12:00:00 AM","244511","","صيانة دورية","ايمن","",""
"5329","V8204100745 ش","6/5/2023 12:00:00 AM","438373","","عيب في الدرام الجديد","ايمن","",""
"5330","V7611100415","6/4/2023 12:00:00 AM","1582856","981436","صيانة دورية","ايمن","",""
"5331","V415X00471","6/13/2023 12:00:00 AM","1719538","","صيانة دورية","رضا","",""
"5332","V3Z6X07643","6/13/2023 12:00:00 AM","399503","","صيانة دورية","رضا","",""
"5333","V4409209095","6/13/2023 12:00:00 AM","75935","","صيانة دورية","رضا","",""
"5334","LU34606509","6/13/2023 12:00:00 AM","61967","7889","صيانة دورية","رضا","",""
"5335","V7720930018","6/13/2023 12:00:00 AM","344285","347689","تم تعبئة حبر اسود + تسليم طقم حبر الوان","رضا","",""
"5336","V8204100745 ش","6/4/2023 12:00:00 AM","438307","","تم تغير درام + شفرة","ايمن","",""
"5337","W492K503471","6/8/2023 12:00:00 AM","617215","427038","صيانة دورية","ايمن","",""
"5338","V7912600553","6/8/2023 12:00:00 AM","521843","","تم وضع حبر اسود","ايمن","",""
"5339","S9044300110","6/8/2023 12:00:00 AM","106277","","الالة بها مشكلة فى الصورة وتكرار","ايمن","",""
"5340","J9156610128","6/8/2023 12:00:00 AM","41554","","الصورة بها خط + نقطة","ايمن","",""
"5341","H6717101229","6/8/2023 12:00:00 AM","199001","","تم عمل صيانة لليونت","ايمن","",""
"5342","M5084204482","6/8/2023 12:00:00 AM","156334","92438","تم تغير السخان","ايمن","",""
"5344","V8204100745 ش","6/8/2023 12:00:00 AM","438381","","تم وضع درام استعمال للتجربة","ايمن","",""
"5353","M6583801637","6/13/2023 12:00:00 AM","521998","","صيانة لليونت مشكلة حبر","شعبان","",""
"5354","H7012900567","6/12/2023 12:00:00 AM","210571","","تم تركيب مازر بورد + وحدة ليزر + شفرة درام MP1515","رحيم","تم دفع حسابة 1000 جنية",""
"5355","W914P905690","6/13/2023 12:00:00 AM","118640","","تم تغير طقم تروس","شعبان","",""
"5359","W794P801511","6/14/2023 12:00:00 AM","34078","76811","عداد تسليم الالة","تمام","",""
"5360","V8015001194","6/14/2023 12:00:00 AM","796590","","تم تغير نص علوى بدون درام","يوسف","",""
"5361","J8344802268","6/14/2023 12:00:00 AM","806021","","تم تغير ترس تنك استعمال","يوسف","",""
"5362","S7214700543","6/12/2023 12:00:00 AM","158843","8056","تم تغير زجاجة الحبر الاسود + ملو كيس حبر ربع الفا","مجدى","تم حسابة 250 جنية",""
"5363","S7214700085","6/14/2023 12:00:00 AM","203035","43270","الالة تحتاج تنك ديفلبر + كرونا جانبية + بكر سحب الدرج الثانى","مجدى","",""
"5364","E323M320581","6/14/2023 12:00:00 AM","39342","","تم تعريف الالة","مجدى","",""
"5365","C077CA30017","6/14/2023 12:00:00 AM","2933287","332385","صيانة دورية","مجدى","",""
"5366","S9309400404","6/14/2023 12:00:00 AM","2450","2501","تم ضبط الالة","مجدى","",""
"5368","V9304801899","6/6/2023 12:00:00 AM","305491","114785","تم عمل عقد صيانة وتم دفع 250 جنية مقدم عقد صيانة","اسامة","الالة تحتاج راس زجاجة حبر اسود",""
"5369","M5593600168","6/6/2023 12:00:00 AM","730116","","حشر فى الفيدر وتم اصلاحة","اسامة","قسط صيانة 300 جنية",""
"5370","S7234200670ش","6/6/2023 12:00:00 AM","204046","54500","صيانة دورية","اسامة","",""
"5371","T1129562521","6/6/2023 12:00:00 AM","220868","","تم تعبئة حبر","اسامة","",""
"5373","E333M921687","6/8/2023 12:00:00 AM","195794","","تم تعبئة حبر اكياس لظهور خلفية في الصورة","اسامة","بدون حساب",""
"5374","W524J500229","6/8/2023 12:00:00 AM","626549","","صورة بهتانة وتم اصلاحة + حشر فى الفيدر بسبب وجود دبابيس","اسامة","",""
"5375","W524J500248","6/8/2023 12:00:00 AM","793235","","صيانة دورية","اسامة","",""
"5376","M5593600168","6/12/2023 12:00:00 AM","731940","","تم اصلاح مجموعة الحبر","اسامة","",""
"5377","L7077261248","6/14/2023 12:00:00 AM","161394","","صيانة دورية","اسامة","",""
"5378","W492K604744","6/14/2023 12:00:00 AM","270194","212009","صيانة دورية","اسامة","",""
"5379","W512J700294 ش","6/14/2023 12:00:00 AM","1025619","90727","صيانة دورية","اسامة","",""
"5380","S5209104103","6/14/2023 12:00:00 AM","67257","","صيانة دورية","اسامة","",""
"5382","E154M631004","5/30/2023 12:00:00 AM","337669","84848","صيانة دورية","اسامة","",""
"5384","W512JB00425","6/12/2023 12:00:00 AM","351966","304066","عداد تسليم الالة","اسامة","",""
"5385","W512J300383","6/12/2023 12:00:00 AM","482917","233853","عداد تسليم الالة","اسامة","",""
"5386","W512J701082 ش","6/12/2023 12:00:00 AM","66765","56702","عداد تسليم الالة","اسامة","",""
"5387","W512JB01583","6/14/2023 12:00:00 AM","323801","338831","عداد تسليم الالة","اسامة","",""
"5388","W513J100118","6/15/2023 12:00:00 AM","283424","118865","تم تغير روال سفلي للسخان","مجدى","",""
"5390","S7214501786","6/15/2023 12:00:00 AM","134872","97606","الالة تعمل بحالة جيدة","مجدى","",""
"5391","S7313900355","6/15/2023 12:00:00 AM","87323","29396","الالة تعمل بحالة جيدة","مجدى","",""
"5392","W673K700078","6/15/2023 12:00:00 AM","700659","","الالة تعمل بحالة جيدة","مجدى","",""
"5394","E754K650223","6/15/2023 12:00:00 AM","557722","","الالة تعمل بحالة جيدة","مجدى","الورق المستخدم خفيف يسبب الحشر",""
"5395","W502K700261","6/15/2023 12:00:00 AM","427223","265531","الالة تعمل بحالة جيدة","مجدى","",""
"5396","T576H802798 ش","6/15/2023 12:00:00 AM","23327","","الالة تعمل بحالة جيدة","مجدى","",""
"5403","V1404401434","6/15/2023 12:00:00 AM","455488","207209","عداد تسليم الالة","مجدى","",""
"5404","V1494201232","6/15/2023 12:00:00 AM","445398","97726","عداد قفل الالة","مجدى","",""
"5405","V1494400803","6/15/2023 12:00:00 AM","399413","109075","تم شد الالة بالورشة وتركيب فيشة سخان + ثرونيت مجموعة خروج + شوكة دوبلكس كاملة + لوك الباب الجانبى + تغير الكرونا الجانبية + درام لليونت الازرق","رحيم","",""
"5407","S7214000955 ش","6/15/2023 12:00:00 AM","355758","46497","تم عمل صيانة لبوابة الخروج + الحصيرة","شعبان","",""
"5408","W512J300873","6/17/2023 12:00:00 AM","397987","293062","عداد تسليم الالة","اسماعيل","",""
"5409","M0169604935","6/17/2023 12:00:00 AM","193998","","تم لحام حساس الورق + ملو حبر ربع الفا","شعبان","",""
"5410","V9714702097","6/17/2023 12:00:00 AM","207849","78969","تم ملو حبر 3 اسود + 2 اصفر + كيس احمر + كيس ازرق","شعبان","تم دفع 1575 ثمن الحبر + 1000 جنية قسط الالة",""
"5412","E235CA30007","6/17/2023 12:00:00 AM","842911","719313","عداد تسليم الالة + تم تعريف الالة طباعة واسكنر","رحيم","سيتم استكمال تركيب الفينيشر",""
"5413","J8344802268","6/17/2023 12:00:00 AM","806736","","تم تغير تنك ديفلبر","يوسف","الالة خارج الضمان",""
"5416","بدون","6/11/2023 12:00:00 AM","212651","","تم وضع ديفلبر في التنك","ايمن","الالة تحتاج درام",""
"5417","W524J100278","6/11/2023 12:00:00 AM","615238","","تم عمل صيانة لليونت + ترس تنك الديفلبر مكسور","ايمن","الالة تحتاج يونت + روال سخان",""
"5418","V8204100745 ش","6/19/2023 12:00:00 AM","439554","","صيانة دورية","ايمن","",""
"5419","S9044300110","6/12/2023 12:00:00 AM","106599","","صيانة دورية","ايمن","",""
"5420","LUD4X03541","6/18/2023 12:00:00 AM","256321","","تم ملو حبر اسود CAT +تم تعريف الالة + تسليم كابل طباعة","رضا","حسابة 500 جنية",""
"5421","VFS8401660 ش","6/18/2023 12:00:00 AM","299346","89376","تم تغير درام للاسود من اليونت الازرق","يوسف","",""
"5422","M6384301390","6/12/2023 12:00:00 AM","490855","","صيانة دورية","ايمن","",""
"5423","E343M720170","6/12/2023 12:00:00 AM","90597","","SC 322","ايمن","",""
"5424","SS7314500178","6/12/2023 12:00:00 AM","126702","31376","صيانة دورية","ايمن","",""
"5425","L3673805549","6/12/2023 12:00:00 AM","172710","113212","تم عمل صيانة عامة للالة","ايمن","",""
"5426","M5792700275","6/22/2023 12:00:00 AM","601355","","خالص حساب 2065 جنية","ايمن","",""
"5427","M5402800100","6/22/2023 12:00:00 AM","474077","","خالص حساب 2065 جنية","ايمن","",""
"5428","M6484400216","6/18/2023 12:00:00 AM","277202","","صيانة دورية","مجدى","",""
"5429","T1119104074","6/18/2023 12:00:00 AM","231415","","صيانة دورية","مجدى","",""
"5430","T1128762943","6/18/2023 12:00:00 AM","207810","","صيانة دورية","مجدى","",""
"5431","V1404401434","6/17/2023 12:00:00 AM","455579","207383","تم تغير الدوبلكس  + الحصيرة","مجدى","",""
"5437","J9146301402","6/14/2023 12:00:00 AM","92053","","SC 829","ايمن","",""
"5438","L7096760959","6/14/2023 12:00:00 AM","","","صيانة دورية","ايمن","تم استلام الايجار 400 جنية",""
"5439","J9156610128","6/14/2023 12:00:00 AM","41595","","تم تغير نصف يونت من الالة الاخري","ايمن","",""
"5440","V7912600553","6/15/2023 12:00:00 AM","522003","","تم تغير شفرة درام","ايمن","",""
"5441","C067C30087","6/15/2023 12:00:00 AM","158977","583500","تم ملو حبر ازرق + اصفر","ايمن","",""
"5442","M5084204482","6/17/2023 12:00:00 AM","156348","92458","الالة تعمل بحالة جيدة بعد تغير السخان","ايمن","",""
"5443","4l12520047","6/17/2023 12:00:00 AM","338022","","تم عمل صيانة عامة للالة","ايمن","",""
"5444","M6593900415","6/17/2023 12:00:00 AM","215540","","تم عمل صيانة عامة للالة ولا يوجد ملاحظات","ايمن","",""
"5446","G075PB00901","6/18/2023 12:00:00 AM","33113","131388","صيانة دورية","شعبان","وجود ريشة الدوبلكس مكسورة",""
"5447","W794P801511","6/18/2023 12:00:00 AM","34105","76912","تم تركيب هارد للالة لتشغيل الفلاشة","اسامة","",""
"5448","V9824200160","6/18/2023 12:00:00 AM","321626","96691","صيانة دورية + الالة تحتاج تعريف","شعبان","",""
"5450","S7324300056","6/18/2023 12:00:00 AM","232568","149062","صيانة دورية","شعبان","تجديد العقد على تليفون",""
"5451","W431K900134  ش","6/18/2023 12:00:00 AM","360026","","صيانة دورية","شعبان","تجديد العقد على تليفون",""
"5454","W542JB00610 ش","6/18/2023 12:00:00 AM","350191","104322","الالة تحتاج شيت فلم للسخان","شعبان","",""
"5455","V7913600408","6/18/2023 12:00:00 AM","362249","","صيانة دورية","شعبان","تم تحصيل 1500 جنية قسط الالة",""
"5456","J8444501477","6/18/2023 12:00:00 AM","428532","","صيانة دورية","شعبان","",""
"5457","QCA9505859","6/19/2023 12:00:00 AM","451525","","تم ضبط الشوكة وتجربة الالة","رحيم","",""
"5459","S7333800048","6/18/2023 12:00:00 AM","261272","103715","الالة تحتاج ريشة دوبلكس + سخان + حصيرة","الزهري","تم تحصيل 250 جنية الزيارة",""
"5460","L7086660183","6/19/2023 12:00:00 AM","189047","","تم عمل صيانة للاسكنر + حل مشكلة الحشر","يوسف","الالة تحتاج حبر",""
"5462","S7214200759","6/18/2023 12:00:00 AM","300178","85173","صيانة دورية","مجدى","",""
"5463","V9713901075","6/18/2023 12:00:00 AM","39149","173383","صيانة دورية","مجدى","",""
"5465","M5793300004","6/19/2023 12:00:00 AM","332985","","تم تغير درام لليونت","مجدى","",""
"5466","S9258500261","6/19/2023 12:00:00 AM","28465","","صيانة دورية","مجدى","",""
"5467","G075P800388","6/19/2023 12:00:00 AM","136389","668","عداد تسليم الالة","مجدى","",""
"5468","V8204101834","6/19/2023 12:00:00 AM","458221","","تم عمل صيانة لحامل الحبر","شعبان","",""
"5469","W903P500374","6/19/2023 12:00:00 AM","223979","","تم عمل صيانة للالة","شعبان","",""
"5470","V7905800315 ش","6/19/2023 12:00:00 AM","1802921","","تم استبدال الفيدر + صيانة للبانل + صيانة لوحدة الليزر","شعبان","تم حسابة 850 جنية",""
"5471","M6394900497","6/19/2023 12:00:00 AM","434866","","تم تغير طقم تروس + كيس حبرالفا ربع","شعبان","",""
"5472","K8563901702 ش","6/20/2023 12:00:00 AM","296564","","الالة تحتاج روال سخان + شفرة درام","شعبان","",""
"5473","W492kA01765","6/20/2023 12:00:00 AM","282548","226708","صيانة دورية","شعبان","تم تحصيل 415 جنية قسط صيانة",""
"5476","V7720930018","6/20/2023 12:00:00 AM","350548","353262","تم ضبط الارضية في الصورة","رضا","",""
"5477","M5783400607","6/20/2023 12:00:00 AM","1250191","","تم ملو حبر + صيانة للسخان","شعبان","الالة تحتاج روال سخان علوي + روال زيت + مجموعة روال الزيت",""
"5478","G094PB00234","6/20/2023 12:00:00 AM","192687","177050","تم تغير نصف تنك اصفر + بامب احمر+ 50 جرام ديفلبر احمر + يونت ازرق + تعديل الدوبلكس + صيانة للفيدر","الزهري","",""
"5479","W793PA02638","6/20/2023 12:00:00 AM","157200","20793","تم تغير يونت اسود + ازرق + اصفر + شد الالة بالورشة","اسامة","تم حسابة 2500 جنية",""
"5482","V7902900227","5/29/2023 12:00:00 AM","232783","","تم تركيب روال سخان علوى","اسامة","حسابة 500 جنية",""
"5483","v8203800309","6/21/2023 12:00:00 AM","226277","","تم ضبط الصورة الخفيفة + ملو حبرربع الفا","مجدى","تم تحصيل 200 جنية وباقى 200 جنية (اسماعيل)",""
"5484","W492K503471","6/16/2023 12:00:00 AM","620304","427058","صيانة دورية","ايمن","العدد 12800 نسخة",""
"5485","W524J100278","6/18/2023 12:00:00 AM","615245","","تم تغير يونت الدرام + تغير روال السخان","ايمن","",""
"5486","بدون","6/18/2023 12:00:00 AM","213003","","تم تغير اليونت من الالة الاخري","ايمن","",""
"5487","W523J100304","7/19/2023 12:00:00 AM","770030","","تسقيط ديفلبر + حشر مستمر + صورة ضعيفة","ايمن","",""
"5488","W534J700081","6/18/2023 12:00:00 AM","1169309","","صيانة دورية","ايمن","",""
"5489","3667850729","6/20/2023 12:00:00 AM","524780","","الالة عطلانة","ايمن","",""
"5490","8W98870448","6/19/2023 12:00:00 AM","180474","","صيانة دورية","ايمن","",""
"5491","M5682700193","6/19/2023 12:00:00 AM","356913","","صيانة دورية","ايمن","",""
"5492","M5593300590","6/19/2023 12:00:00 AM","960113","","تم عمل صيانة لليونت + السخان","ايمن","",""
"5493","S7214600372","6/19/2023 12:00:00 AM","285136","11067","صيانة دورية","ايمن","",""
"5494","V8204500793","6/19/2023 12:00:00 AM","647913","","صيانة دورية","ايمن","",""
"5495","E236C130003","6/20/2023 12:00:00 AM","605425","178226","حشر مستمر + مسطرة الفينيشار مكسورة","ايمن","",""
"5496","M5792600321","6/20/2023 12:00:00 AM","2365879","","تم نقل يونت الدرام من الالة الاخرى","ايمن","",""
"5497","M5593300079","6/20/2023 12:00:00 AM","521765","","تم نقل يونت الدرام من الالة الاخرى","ايمن","",""
"5498","M6593900415","6/21/2023 12:00:00 AM","215540","","صيانة دورية","ايمن","",""
